session_id,fan_id,match_id,session_seconds,pages_viewed,device,converted_to_purchase,timestamp
S000069,F05139,M006,14,"match_schedule, live_scores, highlights, account",mobile,False,2026-06-12
S000070,F03194,M025,5,"account, merch_store, highlights, match_schedule, ticket_checkout",mobile,False,2026-06-16
S000071,F05154,M018,228,"highlights, merch_store",mobile,False,2026-06-21
S000072,F00190,M002,138,"live_scores, account, highlights",mobile,False,2026-06-11
S000073,F02970,M043,100,"account, ticket_checkout, team_profile, highlights, match_schedule",mobile,False,2026-07-05
S000074,F03634,M047,424,"team_profile, highlights, merch_store, ticket_checkout",desktop,False,2026-06-29
S000075,F00922,M004,347,"fan_zone, team_profile, merch_store",mobile,False,2026-06-12
S000076,F04469,M021,278,"account, ticket_checkout, match_schedule, highlights, fan_zone",mobile,False,2026-06-14
S000077,F05674,M030,67,"account, highlights, live_scores, ticket_checkout, fan_zone",mobile,False,2026-06-23
S000078,F01820,M002,26,"highlights, merch_store, fan_zone",mobile,False,2026-06-10
S000079,F02131,M006,149,"home, match_schedule",mobile,False,2026-06-04
S000080,F04109,M013,86,"fan_zone, live_scores, highlights",mobile,False,2026-06-09
S000081,F02104,M041,79,"home, live_scores, merch_store, highlights",mobile,False,2026-06-24
S000082,F03091,M035,33,"account, match_schedule",mobile,False,2026-06-30
S000083,F02763,M018,67,"match_schedule, highlights",mobile,False,2026-06-18
S000084,F04870,M046,633,merch_store,mobile,True,2026-06-30
S000085,F01333,M022,14,match_schedule,mobile,False,2026-06-18
S000086,F05760,M012,240,"highlights, match_schedule, team_profile, account",mobile,False,2026-06-07
S000087,F05360,M019,176,home,mobile,False,2026-06-12
S000088,F01871,M010,291,"home, team_profile, merch_store, fan_zone, match_schedule",desktop,False,2026-06-19
S000089,F03883,M045,389,"fan_zone, ticket_checkout, home, highlights",desktop,False,2026-06-27
S000090,F02883,M024,29,"highlights, ticket_checkout, team_profile",mobile,False,2026-06-23
S000091,F00356,M047,125,ticket_checkout,mobile,False,2026-07-02
S000092,F00381,M021,172,"ticket_checkout, match_schedule, merch_store, highlights",mobile,False,2026-06-16
S000093,F03659,M033,216,"live_scores, highlights, account, merch_store, match_schedule",mobile,False,2026-06-25
S000094,F04195,M026,69,team_profile,mobile,False,2026-06-20
S000095,F02161,M030,526,home,desktop,False,2026-06-26
S000096,F05691,M015,28,live_scores,mobile,False,2026-06-22
S000097,F02540,M028,59,"account, merch_store",mobile,False,2026-06-19
S000098,F01754,M025,336,ticket_checkout,tablet,False,2026-06-25
S000099,F05892,M026,22,"account, fan_zone, ticket_checkout, team_profile, live_scores",mobile,False,2026-06-14
S000100,F05228,M011,455,"match_schedule, team_profile, highlights",mobile,False,2026-06-10
S000101,F00632,M026,15,"team_profile, highlights, account",mobile,False,2026-06-18
S000102,F05223,M045,24,"merch_store, team_profile, home, ticket_checkout",mobile,False,2026-06-26
S000103,F01739,M010,69,"home, fan_zone",mobile,False,2026-06-13
S000104,F04485,M020,212,fan_zone,mobile,False,2026-06-18
S000105,F03531,M005,87,"fan_zone, highlights, merch_store, ticket_checkout, home",mobile,False,2026-06-09
S000106,F04428,M034,614,"highlights, merch_store, fan_zone",desktop,False,2026-06-20
S000107,F01638,M023,49,"fan_zone, team_profile",mobile,False,2026-06-16
S000108,F00276,M013,63,highlights,mobile,False,2026-06-19
S000109,F04413,M024,137,"merch_store, highlights, account, live_scores, fan_zone",mobile,False,2026-06-23
S000110,F00873,M030,101,"match_schedule, home, team_profile",mobile,True,2026-06-19
S000111,F04254,M020,274,"home, ticket_checkout",mobile,False,2026-06-11
S000112,F00887,M013,98,"match_schedule, fan_zone, live_scores",desktop,False,2026-06-11
S000113,F01122,M004,287,"fan_zone, highlights",desktop,True,2026-06-05
S000114,F02206,M017,136,"ticket_checkout, team_profile, merch_store, highlights, match_schedule",tablet,False,2026-06-11
S000115,F00841,M008,147,"home, highlights, match_schedule, team_profile, live_scores",mobile,False,2026-06-15
S000116,F01422,M021,5,"team_profile, live_scores",desktop,False,2026-06-14
S000117,F05988,M026,30,"highlights, fan_zone, home, merch_store, team_profile",mobile,False,2026-06-26
S000118,F04792,M032,12,"highlights, match_schedule, ticket_checkout",mobile,False,2026-06-27
S000119,F00908,M003,253,"merch_store, fan_zone, account, live_scores, home",desktop,False,2026-06-12
S000120,F04984,M035,288,"merch_store, home, highlights, live_scores",mobile,False,2026-06-27
S000121,F05857,M040,309,"merch_store, home, highlights, team_profile, live_scores",mobile,False,2026-07-04
S000122,F01254,M007,5,"live_scores, home, ticket_checkout, merch_store",desktop,False,2026-06-06
S000123,F01297,M027,7,"merch_store, live_scores",mobile,False,2026-06-25
S000124,F02502,M017,248,"account, match_schedule",mobile,False,2026-06-12
S000125,F02418,M010,92,"team_profile, merch_store, ticket_checkout, match_schedule",mobile,False,2026-06-18
S000126,F00147,M017,192,"account, ticket_checkout, team_profile, live_scores",mobile,False,2026-06-15
S000127,F02862,M045,234,"fan_zone, ticket_checkout, live_scores",mobile,False,2026-06-28
S000128,F01325,M027,7,"team_profile, account, home, fan_zone",mobile,False,2026-06-17
S000129,F02314,M018,496,"home, account, highlights",desktop,False,2026-06-17
S000130,F05783,M042,55,"home, fan_zone, team_profile",mobile,True,2026-06-22
S000131,F04330,M027,47,"ticket_checkout, live_scores, highlights, home, fan_zone",mobile,False,2026-06-16
S000132,F05980,M024,227,"live_scores, fan_zone, home, ticket_checkout",mobile,False,2026-06-25
S000133,F00673,M031,424,"home, fan_zone, highlights",mobile,False,2026-06-23
S000134,F04176,M005,185,"merch_store, highlights, live_scores",mobile,False,2026-06-11
S000135,F03392,M042,98,"match_schedule, merch_store, team_profile, fan_zone, ticket_checkout",mobile,False,2026-06-24
S000136,F05220,M025,31,"highlights, match_schedule, team_profile, fan_zone",desktop,False,2026-06-24
S000137,F03100,M032,24,"account, live_scores, fan_zone",mobile,False,2026-06-18
S000138,F01465,M010,535,"live_scores, ticket_checkout, highlights",mobile,False,2026-06-10
S000139,F03167,M043,234,"account, highlights",mobile,False,2026-06-29
S000140,F05095,M027,133,highlights,mobile,False,2026-06-26
S000141,F02919,M040,39,"ticket_checkout, match_schedule, team_profile, account",tablet,False,2026-07-04
S000142,F01190,M047,62,"highlights, fan_zone, ticket_checkout, home, account",tablet,False,2026-07-01
S000143,F01932,M007,396,"team_profile, home, fan_zone",mobile,False,2026-06-15
S000144,F05590,M014,245,"highlights, live_scores",desktop,False,2026-06-17
S000145,F00103,M040,165,"home, fan_zone",mobile,False,2026-07-02
S000146,F02304,M009,35,ticket_checkout,desktop,False,2026-06-19
S000147,F02917,M038,144,"live_scores, account, team_profile",mobile,False,2026-06-27
S000148,F00410,M028,193,"home, account, merch_store",mobile,False,2026-06-19
S000149,F01809,M019,430,"account, ticket_checkout, match_schedule, live_scores, home",mobile,False,2026-06-24
S000150,F01666,M041,69,live_scores,mobile,False,2026-06-30
S000151,F03560,M031,111,ticket_checkout,mobile,False,2026-06-29
S000152,F03642,M048,367,"match_schedule, ticket_checkout, team_profile, highlights",desktop,False,2026-07-04
S000153,F01978,M002,133,"ticket_checkout, live_scores, team_profile, match_schedule, highlights",mobile,False,2026-06-02
S000154,F02141,M029,43,fan_zone,mobile,False,2026-06-22
S000155,F02652,M005,132,team_profile,mobile,False,2026-06-04
S000156,F04247,M008,27,"ticket_checkout, merch_store",mobile,False,2026-06-10
S000157,F01428,M032,74,"team_profile, highlights, merch_store",mobile,False,2026-06-21
S000158,F00566,M003,306,"team_profile, merch_store",mobile,False,2026-06-06
S000159,F04349,M032,6,"account, merch_store, ticket_checkout, match_schedule",desktop,False,2026-06-24
S000160,F03565,M038,49,"ticket_checkout, merch_store, team_profile, highlights, match_schedule",tablet,False,2026-06-21
S000161,F03483,M038,157,"account, fan_zone, home, highlights",tablet,False,2026-06-29
S000162,F01184,M028,84,"merch_store, ticket_checkout",mobile,False,2026-06-16
S000163,F02179,M036,290,account,mobile,False,2026-06-27
S000164,F05164,M034,32,"live_scores, ticket_checkout",desktop,False,2026-06-21
S000165,F02896,M031,428,"fan_zone, ticket_checkout, home, account",mobile,False,2026-06-22
S000166,F05355,M038,126,match_schedule,mobile,False,2026-07-01
S000167,F05576,M032,198,"team_profile, ticket_checkout, live_scores, match_schedule, home",mobile,False,2026-06-19
S000168,F05647,M014,204,"highlights, ticket_checkout",mobile,False,2026-06-10
S000169,F03801,M024,75,"merch_store, account, home",mobile,False,2026-06-14
S000170,F04888,M004,51,"highlights, live_scores, fan_zone",desktop,False,2026-06-13
S000171,F01690,M032,130,"merch_store, ticket_checkout, highlights, account",mobile,False,2026-06-18
S000172,F02521,M012,183,"live_scores, ticket_checkout, team_profile, home",mobile,False,2026-06-13
S000173,F00260,M037,93,"live_scores, merch_store, fan_zone, home, highlights",desktop,False,2026-06-24
S000174,F03304,M003,329,"team_profile, fan_zone, ticket_checkout",tablet,False,2026-06-16
S000175,F03283,M035,46,team_profile,mobile,False,2026-06-27
S000176,F05130,M027,38,"highlights, match_schedule",mobile,False,2026-06-16
S000177,F01145,M004,16,team_profile,mobile,False,2026-06-10
S000178,F02840,M005,350,"home, account, live_scores, ticket_checkout",desktop,False,2026-06-09
S000179,F00105,M007,28,"merch_store, live_scores, team_profile",desktop,False,2026-06-09
S000180,F03585,M015,18,highlights,desktop,True,2026-06-18
S000181,F01926,M009,161,"team_profile, fan_zone, highlights, account",mobile,False,2026-06-11
S000182,F01790,M044,49,"account, ticket_checkout, merch_store",mobile,False,2026-07-03
S000183,F03801,M035,250,ticket_checkout,mobile,False,2026-06-27
S000184,F03466,M009,48,"live_scores, team_profile, fan_zone, merch_store, match_schedule",mobile,False,2026-06-11
S000185,F04188,M020,267,"match_schedule, ticket_checkout, fan_zone",mobile,False,2026-06-21
S000186,F02115,M027,339,account,mobile,False,2026-06-26
S000187,F04952,M010,601,"home, account, merch_store, ticket_checkout",desktop,False,2026-06-17
S000188,F03302,M019,202,"team_profile, account, home, match_schedule, fan_zone",desktop,False,2026-06-16
S000189,F03147,M027,217,"live_scores, highlights, team_profile, ticket_checkout",mobile,False,2026-06-22
S000190,F05003,M019,137,"team_profile, account, home, ticket_checkout",mobile,False,2026-06-17
S000191,F04381,M020,162,merch_store,mobile,False,2026-06-22
S000192,F01034,M027,411,"account, ticket_checkout",mobile,False,2026-06-15
S000193,F01797,M045,19,"merch_store, match_schedule, ticket_checkout, account",desktop,False,2026-06-27
S000194,F01215,M016,85,"merch_store, ticket_checkout, team_profile",mobile,False,2026-06-18
S000195,F04865,M030,144,"match_schedule, live_scores, highlights",mobile,False,2026-06-25
S000196,F04720,M042,38,"account, team_profile",tablet,False,2026-06-27
S000197,F03082,M046,412,"home, ticket_checkout, highlights",mobile,False,2026-07-02
S000198,F05960,M040,9,"highlights, team_profile",mobile,False,2026-07-03
S000199,F00986,M004,138,"home, account",mobile,False,2026-06-10
S000200,F01725,M035,108,highlights,mobile,False,2026-06-29
S000201,F03422,M038,92,"team_profile, ticket_checkout, account",mobile,False,2026-06-28
S000202,F03529,M034,9,"merch_store, account",mobile,False,2026-06-23
S000203,F02604,M048,344,"merch_store, ticket_checkout, live_scores, highlights, team_profile",desktop,False,2026-07-04
S000204,F04094,M019,74,"highlights, ticket_checkout, home",mobile,False,2026-06-12
S000205,F05401,M007,139,"live_scores, team_profile, fan_zone, match_schedule, merch_store",desktop,False,2026-06-12
S000206,F01246,M009,72,"team_profile, merch_store, ticket_checkout",desktop,False,2026-06-17
S000207,F03094,M008,35,"live_scores, highlights",mobile,False,2026-06-08
S000208,F00916,M021,67,team_profile,mobile,False,2026-06-13
S000209,F02287,M042,12,account,mobile,False,2026-06-27
S000210,F03941,M016,73,"live_scores, team_profile, account, match_schedule, home",desktop,False,2026-06-10
S000211,F00450,M006,563,"merch_store, account, team_profile, home",mobile,False,2026-06-11
S000212,F01810,M023,161,"merch_store, team_profile, ticket_checkout, highlights, account",mobile,False,2026-06-17
S000213,F00067,M038,251,"highlights, live_scores",mobile,False,2026-07-01
S000214,F02270,M014,282,"fan_zone, account, team_profile, merch_store",mobile,False,2026-06-21
S000215,F01607,M013,117,"match_schedule, account",mobile,False,2026-06-10
S000216,F00326,M033,530,"live_scores, match_schedule, team_profile, account, home",desktop,False,2026-07-01
S000217,F05098,M022,5,"highlights, fan_zone, ticket_checkout, match_schedule",mobile,False,2026-06-22
S000218,F04353,M018,5,"highlights, live_scores, ticket_checkout, home, account",mobile,False,2026-06-15
S000219,F03217,M014,177,"merch_store, account, live_scores, highlights",mobile,False,2026-06-16
S000220,F02435,M029,218,"highlights, match_schedule, fan_zone",desktop,False,2026-06-21
S000221,F00545,M041,235,"live_scores, highlights, team_profile, ticket_checkout",mobile,False,2026-06-28
S000222,F02000,M003,350,"live_scores, match_schedule, account",desktop,False,2026-06-03
S000223,F03083,M047,107,"home, merch_store, account, team_profile, live_scores",mobile,False,2026-07-06
S000224,F00410,M026,73,highlights,mobile,False,2026-06-18
S000225,F04059,M041,32,fan_zone,mobile,False,2026-07-02
S000226,F05802,M042,735,"account, home, live_scores, highlights, team_profile",desktop,False,2026-06-24
S000227,F01528,M046,5,"match_schedule, live_scores, team_profile, home, account",mobile,False,2026-07-01
S000228,F01491,M022,99,"fan_zone, account",mobile,False,2026-06-17
S000229,F02921,M025,62,"merch_store, fan_zone, ticket_checkout, team_profile",mobile,False,2026-06-15
S000230,F02915,M039,279,account,desktop,True,2026-06-26
S000231,F05328,M010,332,"highlights, live_scores",desktop,False,2026-06-15
S000232,F03741,M004,75,"fan_zone, account",mobile,False,2026-06-08
S000233,F00427,M033,149,match_schedule,mobile,False,2026-06-18
S000234,F04697,M024,71,"ticket_checkout, merch_store, live_scores, fan_zone",mobile,False,2026-06-17
S000235,F01225,M045,85,"highlights, merch_store",mobile,False,2026-07-07
S000236,F00792,M004,308,"ticket_checkout, team_profile, highlights, merch_store",mobile,False,2026-06-05
S000237,F05579,M012,262,"highlights, ticket_checkout",desktop,False,2026-06-09
S000238,F05871,M004,315,"home, live_scores, account",mobile,False,2026-06-13
S000239,F04933,M027,44,match_schedule,desktop,False,2026-06-28
S000240,F00383,M020,174,"home, account",mobile,False,2026-06-23
S000241,F03680,M038,92,"fan_zone, highlights, match_schedule, account, home",mobile,False,2026-06-24
S000242,F01594,M004,23,"home, account, team_profile, live_scores",mobile,False,2026-06-03
S000243,F04261,M038,258,"merch_store, live_scores",desktop,False,2026-06-29
S000244,F03839,M018,105,"match_schedule, fan_zone, merch_store, ticket_checkout",tablet,False,2026-06-19
S000245,F05844,M012,199,"live_scores, ticket_checkout, merch_store",mobile,False,2026-06-15
S000246,F00236,M027,300,"ticket_checkout, match_schedule, fan_zone",mobile,True,2026-06-20
S000247,F00767,M030,191,"match_schedule, account",desktop,False,2026-06-24
S000248,F01796,M044,97,"live_scores, team_profile, merch_store",mobile,False,2026-07-06
S000249,F05616,M019,368,"fan_zone, highlights, home, ticket_checkout",mobile,False,2026-06-24
S000250,F05141,M001,138,match_schedule,mobile,True,2026-06-06
S000251,F02593,M028,10,"highlights, ticket_checkout, merch_store, home",mobile,False,2026-06-24
S000252,F04846,M007,294,"ticket_checkout, fan_zone, live_scores, merch_store, team_profile",mobile,False,2026-06-12
S000253,F02604,M019,101,"account, team_profile, match_schedule, ticket_checkout, merch_store",mobile,False,2026-06-11
S000254,F00576,M014,353,"fan_zone, merch_store, match_schedule, account",mobile,False,2026-06-13
S000255,F00262,M030,30,"account, highlights",desktop,False,2026-06-16
S000256,F03671,M032,474,"team_profile, highlights, merch_store",desktop,False,2026-06-18
S000257,F02631,M028,141,"fan_zone, team_profile, highlights, ticket_checkout",mobile,False,2026-06-17
S000258,F00421,M012,32,merch_store,mobile,True,2026-06-16
S000259,F01618,M005,220,"home, highlights, team_profile",mobile,False,2026-06-06
S000260,F04870,M039,490,account,mobile,False,2026-06-24
S000261,F00035,M030,379,"team_profile, live_scores, match_schedule, highlights",desktop,False,2026-06-20
S000262,F05380,M019,178,"merch_store, match_schedule, fan_zone, home, live_scores",mobile,False,2026-06-23
S000263,F03604,M022,18,match_schedule,desktop,False,2026-06-12
S000264,F01020,M038,168,account,mobile,False,2026-06-23
S000265,F00757,M009,99,"ticket_checkout, live_scores",desktop,False,2026-06-12
S000266,F02137,M007,29,"live_scores, team_profile, home",mobile,False,2026-06-11
S000267,F04445,M002,681,"merch_store, home, highlights, live_scores",mobile,False,2026-06-08
S000268,F02994,M010,136,"ticket_checkout, account",mobile,False,2026-06-19
S000269,F00508,M028,137,"highlights, ticket_checkout, merch_store, fan_zone, home",mobile,False,2026-06-24
S000270,F05754,M026,735,"merch_store, fan_zone",mobile,False,2026-06-16
S000271,F00148,M046,6,"highlights, account",mobile,False,2026-07-01
S000272,F00875,M031,690,highlights,mobile,False,2026-06-18
S000273,F04796,M007,194,"match_schedule, ticket_checkout",mobile,False,2026-06-18
S000274,F02150,M007,469,"fan_zone, account, match_schedule, live_scores, merch_store",mobile,False,2026-06-17
S000275,F05884,M029,152,fan_zone,mobile,False,2026-06-27
S000276,F00222,M031,575,"live_scores, team_profile",mobile,False,2026-06-29
S000277,F01302,M039,221,"match_schedule, account, fan_zone, team_profile",mobile,False,2026-07-02
S000278,F05173,M005,8,live_scores,mobile,False,2026-06-17
S000279,F00688,M040,250,"team_profile, live_scores",mobile,False,2026-07-01
S000280,F03571,M047,148,"ticket_checkout, fan_zone, live_scores",mobile,False,2026-07-03
S000281,F03099,M010,75,"ticket_checkout, highlights, fan_zone, home",desktop,False,2026-06-14
S000282,F02324,M003,124,"ticket_checkout, match_schedule, merch_store",mobile,False,2026-06-12
S000283,F05814,M016,269,merch_store,desktop,False,2026-06-22
S000284,F00609,M043,140,"ticket_checkout, live_scores",mobile,False,2026-06-30
S000285,F04372,M044,278,"live_scores, ticket_checkout",desktop,True,2026-06-28
S000286,F05951,M005,472,"team_profile, merch_store",mobile,False,2026-06-12
S000287,F03548,M031,14,"live_scores, match_schedule",mobile,False,2026-06-24
S000288,F01068,M017,113,"fan_zone, highlights, merch_store, account",mobile,False,2026-06-21
S000289,F03115,M020,154,"ticket_checkout, live_scores, home, match_schedule",mobile,False,2026-06-18
S000290,F01089,M041,145,"home, team_profile, fan_zone",mobile,False,2026-07-05
S000291,F02322,M001,312,home,mobile,False,2026-06-07
S000292,F04922,M040,114,highlights,mobile,False,2026-07-04
S000293,F00124,M013,579,match_schedule,desktop,False,2026-06-13
S000294,F01925,M035,114,"home, live_scores, highlights",mobile,False,2026-06-23
S000295,F05932,M038,219,"account, fan_zone, ticket_checkout, highlights",tablet,False,2026-06-24
S000296,F02487,M025,158,"account, team_profile, merch_store",desktop,False,2026-06-19
S000297,F02217,M021,260,"home, fan_zone, live_scores",desktop,False,2026-06-23
S000298,F00741,M030,66,team_profile,tablet,False,2026-06-27
S000299,F02547,M028,245,"fan_zone, highlights",mobile,False,2026-06-16
S000300,F04432,M035,123,team_profile,desktop,False,2026-06-19
S000301,F01808,M029,177,"live_scores, match_schedule",desktop,True,2026-06-16
S000302,F05736,M026,45,"merch_store, live_scores, highlights",mobile,False,2026-06-15
S000303,F05291,M034,130,"highlights, account",mobile,False,2026-06-22
S000304,F05464,M019,405,ticket_checkout,mobile,False,2026-06-13
S000305,F05802,M018,169,"highlights, home",mobile,False,2026-06-11
S000306,F04999,M045,737,account,mobile,False,2026-06-25
S000307,F02036,M025,361,"account, match_schedule, live_scores, fan_zone, highlights",desktop,False,2026-06-26
S000308,F03872,M032,62,"account, match_schedule, highlights, live_scores",mobile,False,2026-06-20
S000309,F00571,M030,38,"ticket_checkout, highlights, account",mobile,True,2026-06-27
S000310,F00681,M034,5,match_schedule,mobile,False,2026-06-25
S000311,F03512,M017,66,merch_store,mobile,False,2026-06-21
S000312,F04371,M020,266,"merch_store, ticket_checkout, fan_zone, live_scores",desktop,False,2026-06-21
S000313,F04990,M001,227,merch_store,desktop,False,2026-06-02
S000314,F01317,M002,40,"account, highlights, live_scores, team_profile",mobile,False,2026-06-07
S000315,F04223,M006,290,"highlights, live_scores, team_profile",mobile,False,2026-06-16
S000316,F05720,M013,133,merch_store,mobile,False,2026-06-15
S000317,F03167,M004,41,fan_zone,mobile,False,2026-06-14
S000318,F05782,M023,110,live_scores,mobile,False,2026-06-24
S000319,F03116,M031,214,"home, ticket_checkout",mobile,False,2026-06-26
S000320,F01453,M048,105,"home, fan_zone, team_profile",mobile,False,2026-07-05
S000321,F04988,M010,181,"team_profile, highlights",mobile,False,2026-06-17
S000322,F05955,M002,79,"ticket_checkout, home, match_schedule",mobile,False,2026-06-11
S000323,F04061,M045,125,"team_profile, merch_store",mobile,False,2026-06-24
S000324,F00846,M020,6,merch_store,mobile,False,2026-06-13
S000325,F01516,M018,110,ticket_checkout,mobile,False,2026-06-15
S000326,F04477,M018,133,"account, fan_zone, match_schedule",desktop,False,2026-06-20
S000327,F02571,M013,137,"fan_zone, account",desktop,False,2026-06-21
S000328,F01698,M029,324,match_schedule,mobile,False,2026-06-18
S000329,F01418,M045,27,"team_profile, home, merch_store, account",mobile,True,2026-07-05
S000330,F03494,M033,108,"live_scores, ticket_checkout, merch_store, home, highlights",desktop,False,2026-06-18
S000331,F00436,M028,106,"merch_store, fan_zone",desktop,False,2026-06-19
S000332,F04161,M009,16,fan_zone,mobile,False,2026-06-13
S000333,F01774,M034,158,"home, team_profile, live_scores, fan_zone, highlights",mobile,False,2026-06-27
S000334,F01026,M016,573,"home, match_schedule, fan_zone",mobile,False,2026-06-10
S000335,F03108,M003,184,"highlights, team_profile, account, live_scores, merch_store",mobile,False,2026-06-15
S000336,F01107,M035,622,"account, ticket_checkout, live_scores",tablet,False,2026-07-02
S000337,F02338,M029,17,"home, account, ticket_checkout, merch_store",desktop,False,2026-06-22
S000338,F01459,M048,149,"home, team_profile",mobile,False,2026-06-25
S000339,F02227,M027,27,match_schedule,tablet,False,2026-06-21
S000340,F05390,M045,137,"team_profile, live_scores, highlights, ticket_checkout",desktop,False,2026-07-07
S000341,F05686,M046,95,team_profile,desktop,False,2026-07-05
