fan_id,segment,offer_response_probability
F02415,High Engagers,0.827
F05186,Super Fans,0.827
F02212,High Engagers,0.826
F00660,High Engagers,0.826
F00930,High Engagers,0.826
F00887,Super Fans,0.826
F00418,High Engagers,0.825
F02735,High Engagers,0.825
F03968,High Engagers,0.825
F05564,Super Fans,0.825
F01561,High Engagers,0.825
F04775,Super Fans,0.825
F01976,Super Fans,0.824
F03380,Super Fans,0.824
F05591,High Engagers,0.824
F05950,High Engagers,0.824
F04226,Super Fans,0.824
F04592,High Engagers,0.823
F02520,High Engagers,0.823
F00421,Super Fans,0.823
F04068,High Engagers,0.822
F01777,Super Fans,0.822
F03333,High Engagers,0.822
F03989,Super Fans,0.822
F03600,Super Fans,0.821
F03849,Super Fans,0.821
F02455,High Engagers,0.821
F02070,High Engagers,0.82
F04396,Super Fans,0.82
F00470,High Engagers,0.82
F04616,High Engagers,0.819
F05908,High Engagers,0.819
F03060,Super Fans,0.819
F00820,High Engagers,0.819
F01410,Super Fans,0.819
F05833,Super Fans,0.818
F02514,Super Fans,0.818
F01196,High Engagers,0.818
F02730,Super Fans,0.818
F03482,High Engagers,0.818
F02060,High Engagers,0.818
F03553,High Engagers,0.818
F04743,High Engagers,0.818
F03712,High Engagers,0.817
F05869,Super Fans,0.817
F05264,High Engagers,0.817
F02164,High Engagers,0.817
F05068,High Engagers,0.817
F01498,Super Fans,0.817
F03183,Super Fans,0.817
F05824,Super Fans,0.817
F01409,High Engagers,0.816
F04691,High Engagers,0.816
F04735,High Engagers,0.816
F04405,High Engagers,0.816
F00494,High Engagers,0.816
F03502,Super Fans,0.816
F01629,Super Fans,0.816
F00623,High Engagers,0.816
F02128,High Engagers,0.816
F04741,High Engagers,0.816
F01620,Super Fans,0.815
F05696,Super Fans,0.815
F04892,High Engagers,0.815
F03845,High Engagers,0.814
F05720,Super Fans,0.814
F03970,High Engagers,0.814
F03591,Super Fans,0.814
F05317,High Engagers,0.814
F00795,Super Fans,0.814
F00010,High Engagers,0.814
F04026,High Engagers,0.814
F05020,High Engagers,0.813
F04186,High Engagers,0.813
F01271,High Engagers,0.813
F04125,High Engagers,0.813
F00873,High Engagers,0.813
F04644,High Engagers,0.813
F05994,High Engagers,0.813
F00538,Super Fans,0.813
F04736,High Engagers,0.813
F00484,Super Fans,0.813
F05000,High Engagers,0.813
F04562,High Engagers,0.813
F00329,High Engagers,0.812
F01431,High Engagers,0.812
F05961,High Engagers,0.812
F05543,High Engagers,0.812
F05341,Super Fans,0.812
F00799,High Engagers,0.811
F02783,Super Fans,0.811
F04057,High Engagers,0.811
F02073,High Engagers,0.81
F02571,High Engagers,0.81
F01242,High Engagers,0.81
F00675,High Engagers,0.81
F05316,High Engagers,0.81
F01824,High Engagers,0.81
F00816,Super Fans,0.81
F01566,High Engagers,0.81
F03002,High Engagers,0.81
F01176,High Engagers,0.81
F05403,Super Fans,0.81
F01192,High Engagers,0.81
F02140,High Engagers,0.809
F00684,Super Fans,0.809
F05562,High Engagers,0.809
F04323,High Engagers,0.809
F02531,High Engagers,0.809
F04123,High Engagers,0.809
F03236,High Engagers,0.809
F05664,High Engagers,0.809
F02921,High Engagers,0.809
F03786,High Engagers,0.809
F00082,High Engagers,0.808
F05930,High Engagers,0.808
F01070,High Engagers,0.808
F02484,High Engagers,0.808
F00394,High Engagers,0.808
F03743,High Engagers,0.808
F01933,Super Fans,0.808
F04047,High Engagers,0.808
F00645,Super Fans,0.807
F00698,High Engagers,0.807
F03424,High Engagers,0.807
F04434,High Engagers,0.807
F03404,High Engagers,0.807
F01737,High Engagers,0.807
F03693,High Engagers,0.807
F04051,High Engagers,0.807
F05570,High Engagers,0.806
F03603,High Engagers,0.806
F02832,High Engagers,0.806
F02332,High Engagers,0.806
F04264,High Engagers,0.806
F02540,Super Fans,0.806
F05816,High Engagers,0.805
F00452,Super Fans,0.805
F02479,High Engagers,0.805
F00179,Super Fans,0.805
F00186,High Engagers,0.805
F02273,High Engagers,0.805
F01530,High Engagers,0.805
F04623,High Engagers,0.805
F02772,High Engagers,0.804
F02938,High Engagers,0.804
F04599,High Engagers,0.804
F00201,Super Fans,0.804
F05832,Super Fans,0.804
F02325,Super Fans,0.804
F03288,High Engagers,0.804
F02299,High Engagers,0.804
F01533,High Engagers,0.803
F04416,Super Fans,0.803
F02264,High Engagers,0.803
F00378,High Engagers,0.803
F00641,Super Fans,0.803
F00152,High Engagers,0.803
F03496,High Engagers,0.803
F01249,High Engagers,0.803
F02293,High Engagers,0.803
F00537,Super Fans,0.803
F02078,High Engagers,0.802
F05179,High Engagers,0.802
F03016,Super Fans,0.802
F03422,High Engagers,0.802
F05655,Super Fans,0.802
F05399,High Engagers,0.802
F03774,High Engagers,0.802
F04341,Super Fans,0.802
F03229,High Engagers,0.802
F00612,High Engagers,0.802
F00187,High Engagers,0.802
F04105,High Engagers,0.801
F01565,High Engagers,0.801
F03435,Super Fans,0.801
F00725,High Engagers,0.801
F04313,High Engagers,0.801
F05933,High Engagers,0.8
F03669,High Engagers,0.8
F05672,High Engagers,0.8
F03940,Super Fans,0.8
F04215,Super Fans,0.8
F01022,High Engagers,0.8
F03308,High Engagers,0.8
F03067,High Engagers,0.8
F02443,High Engagers,0.8
F05215,High Engagers,0.8
F01797,High Engagers,0.8
F02345,High Engagers,0.8
F03132,High Engagers,0.8
F02713,High Engagers,0.799
F04779,High Engagers,0.799
F01816,High Engagers,0.799
F05822,High Engagers,0.799
F05778,High Engagers,0.799
F02056,Super Fans,0.799
F02319,Super Fans,0.799
F01468,High Engagers,0.799
F01056,High Engagers,0.799
F04011,Super Fans,0.799
F02310,High Engagers,0.799
F02309,High Engagers,0.799
F03649,High Engagers,0.799
F05972,High Engagers,0.799
F01872,High Engagers,0.799
F04079,High Engagers,0.799
F00909,High Engagers,0.799
F01848,High Engagers,0.799
F01479,High Engagers,0.799
F00995,High Engagers,0.799
F00794,High Engagers,0.798
F03405,High Engagers,0.798
F01680,High Engagers,0.798
F05121,High Engagers,0.798
F04484,High Engagers,0.798
F04886,High Engagers,0.797
F04472,Super Fans,0.797
F04192,High Engagers,0.797
F04187,High Engagers,0.797
F00908,High Engagers,0.797
F02250,High Engagers,0.797
F03829,High Engagers,0.797
F05400,High Engagers,0.797
F03297,High Engagers,0.796
F03011,High Engagers,0.796
F01322,High Engagers,0.796
F00271,High Engagers,0.796
F03664,High Engagers,0.796
F00188,High Engagers,0.796
F00313,High Engagers,0.796
F01951,Super Fans,0.795
F04167,High Engagers,0.795
F05742,High Engagers,0.795
F02237,Super Fans,0.795
F04865,Super Fans,0.795
F02358,High Engagers,0.794
F05945,High Engagers,0.794
F03129,Super Fans,0.794
F05906,High Engagers,0.794
F05597,High Engagers,0.794
F00120,Super Fans,0.794
F01989,Super Fans,0.793
F04476,High Engagers,0.793
F01109,High Engagers,0.793
F01038,High Engagers,0.793
F05148,High Engagers,0.793
F00029,High Engagers,0.793
F05700,High Engagers,0.793
F03250,High Engagers,0.793
F05776,High Engagers,0.793
F04796,High Engagers,0.793
F02263,High Engagers,0.793
F04961,High Engagers,0.793
F00309,High Engagers,0.792
F05935,High Engagers,0.792
F05257,High Engagers,0.792
F02777,Super Fans,0.792
F05452,High Engagers,0.792
F00316,High Engagers,0.792
F03990,High Engagers,0.792
F05893,High Engagers,0.792
F01667,Super Fans,0.792
F05163,High Engagers,0.792
F01971,High Engagers,0.791
F00994,High Engagers,0.791
F03391,High Engagers,0.791
F01157,High Engagers,0.791
F00508,Super Fans,0.791
F03810,High Engagers,0.791
F05601,Super Fans,0.791
F05401,Super Fans,0.791
F05985,High Engagers,0.791
F02610,High Engagers,0.791
F04115,High Engagers,0.791
F04219,High Engagers,0.79
F03168,High Engagers,0.79
F01464,High Engagers,0.79
F01900,High Engagers,0.79
F01306,High Engagers,0.79
F05594,High Engagers,0.79
F00935,Super Fans,0.79
F04201,High Engagers,0.79
F05265,Super Fans,0.79
F01708,High Engagers,0.789
F02223,High Engagers,0.789
F01437,High Engagers,0.789
F05352,Super Fans,0.789
F03274,High Engagers,0.789
F03491,High Engagers,0.789
F00961,High Engagers,0.789
F03120,High Engagers,0.788
F00214,Super Fans,0.788
F02123,High Engagers,0.788
F05177,High Engagers,0.788
F01484,High Engagers,0.788
F04088,High Engagers,0.788
F01546,Super Fans,0.788
F02369,High Engagers,0.788
F00751,High Engagers,0.788
F05343,High Engagers,0.788
F01778,High Engagers,0.787
F05585,High Engagers,0.787
F02083,High Engagers,0.787
F05442,High Engagers,0.787
F01373,High Engagers,0.787
F05755,High Engagers,0.787
F01342,High Engagers,0.787
F03443,High Engagers,0.787
F02803,High Engagers,0.787
F05890,High Engagers,0.787
F00695,High Engagers,0.786
F05141,High Engagers,0.786
F00852,High Engagers,0.786
F05220,High Engagers,0.786
F00351,Super Fans,0.786
F00294,High Engagers,0.786
F03476,High Engagers,0.786
F02701,High Engagers,0.786
F00703,High Engagers,0.785
F00712,Super Fans,0.785
F01200,High Engagers,0.785
F05226,High Engagers,0.785
F00560,High Engagers,0.785
F00175,High Engagers,0.785
F00133,High Engagers,0.785
F02705,High Engagers,0.785
F01896,Super Fans,0.784
F04713,High Engagers,0.784
F05877,High Engagers,0.784
F00745,High Engagers,0.784
F03737,Super Fans,0.784
F04364,High Engagers,0.784
F05001,High Engagers,0.784
F01152,High Engagers,0.783
F05611,High Engagers,0.783
F00571,High Engagers,0.783
F01129,High Engagers,0.783
F01803,High Engagers,0.783
F00883,High Engagers,0.782
F02113,High Engagers,0.782
F02420,High Engagers,0.782
F02145,High Engagers,0.782
F00680,High Engagers,0.782
F02810,High Engagers,0.782
F01878,High Engagers,0.782
F02517,High Engagers,0.782
F02952,High Engagers,0.782
F04017,High Engagers,0.782
F00823,Super Fans,0.782
F00705,High Engagers,0.781
F04856,High Engagers,0.781
F03615,High Engagers,0.781
F00145,High Engagers,0.78
F03455,Super Fans,0.78
F04837,High Engagers,0.78
F04288,Super Fans,0.78
F03510,High Engagers,0.78
F00396,Super Fans,0.78
F01865,High Engagers,0.78
F00874,High Engagers,0.78
F04887,Super Fans,0.78
F04070,High Engagers,0.78
F00998,High Engagers,0.78
F01381,High Engagers,0.78
F02499,High Engagers,0.78
F03905,High Engagers,0.78
F02997,High Engagers,0.779
F05673,High Engagers,0.779
F02906,High Engagers,0.779
F05938,High Engagers,0.779
F00668,High Engagers,0.779
F05683,High Engagers,0.779
F00330,High Engagers,0.779
F02525,High Engagers,0.779
F01122,High Engagers,0.778
F02893,High Engagers,0.778
F04325,High Engagers,0.778
F05941,High Engagers,0.778
F02447,Super Fans,0.778
F05676,High Engagers,0.778
F05446,High Engagers,0.778
F02966,High Engagers,0.778
F01419,High Engagers,0.777
F01715,High Engagers,0.777
F02396,High Engagers,0.776
F03499,High Engagers,0.776
F05976,High Engagers,0.776
F00466,High Engagers,0.776
F04991,High Engagers,0.776
F04140,High Engagers,0.776
F05042,High Engagers,0.776
F00207,High Engagers,0.776
F02071,High Engagers,0.775
F01672,High Engagers,0.775
F01059,High Engagers,0.775
F03715,High Engagers,0.775
F04883,High Engagers,0.775
F04390,High Engagers,0.775
F00328,High Engagers,0.775
F00899,High Engagers,0.775
F03985,High Engagers,0.775
F02121,Super Fans,0.774
F00406,Super Fans,0.774
F00303,High Engagers,0.774
F03273,High Engagers,0.774
F04312,Super Fans,0.774
F00086,High Engagers,0.774
F00425,High Engagers,0.774
F03375,High Engagers,0.774
F02807,High Engagers,0.774
F02844,High Engagers,0.774
F04669,High Engagers,0.773
F00407,High Engagers,0.773
F03585,High Engagers,0.773
F00423,High Engagers,0.773
F00646,High Engagers,0.773
F04830,High Engagers,0.773
F03441,High Engagers,0.773
F05553,Super Fans,0.773
F00217,High Engagers,0.773
F02737,High Engagers,0.773
F02418,High Engagers,0.772
F05995,High Engagers,0.772
F02302,High Engagers,0.772
F02818,High Engagers,0.772
F00273,High Engagers,0.772
F01997,High Engagers,0.772
F01766,High Engagers,0.772
F01636,Super Fans,0.772
F05039,High Engagers,0.772
F02437,High Engagers,0.772
F04571,Super Fans,0.771
F01832,High Engagers,0.771
F02471,High Engagers,0.771
F04988,High Engagers,0.771
F05427,High Engagers,0.771
F02086,High Engagers,0.77
F00694,Super Fans,0.77
F02912,High Engagers,0.77
F01543,High Engagers,0.77
F05005,High Engagers,0.77
F00938,High Engagers,0.77
F00018,High Engagers,0.77
F02928,High Engagers,0.769
F04314,High Engagers,0.769
F05653,High Engagers,0.769
F05831,High Engagers,0.769
F01932,High Engagers,0.769
F01815,High Engagers,0.769
F01685,High Engagers,0.768
F05898,High Engagers,0.768
F00862,High Engagers,0.768
F01557,High Engagers,0.768
F02916,High Engagers,0.768
F03039,High Engagers,0.768
F02680,High Engagers,0.768
F05757,High Engagers,0.768
F04146,High Engagers,0.768
F05365,High Engagers,0.767
F04652,High Engagers,0.767
F02858,High Engagers,0.767
F05497,High Engagers,0.767
F01975,High Engagers,0.767
F00707,High Engagers,0.767
F05429,High Engagers,0.767
F00951,High Engagers,0.767
F03628,High Engagers,0.766
F02386,Super Fans,0.766
F03097,High Engagers,0.766
F04846,High Engagers,0.766
F05667,High Engagers,0.766
F05460,High Engagers,0.766
F01903,High Engagers,0.766
F03318,Super Fans,0.766
F05680,High Engagers,0.766
F02316,Super Fans,0.766
F00654,Super Fans,0.766
F05641,Super Fans,0.765
F03526,High Engagers,0.765
F02441,Super Fans,0.765
F03545,Super Fans,0.764
F02890,Super Fans,0.764
F03735,High Engagers,0.764
F05292,High Engagers,0.763
F03870,High Engagers,0.763
F05176,High Engagers,0.763
F05535,High Engagers,0.763
F02313,High Engagers,0.763
F05964,High Engagers,0.763
F00743,High Engagers,0.762
F05294,High Engagers,0.762
F02886,High Engagers,0.762
F02194,Super Fans,0.762
F00092,High Engagers,0.761
F05791,High Engagers,0.761
F03398,High Engagers,0.761
F03833,High Engagers,0.761
F05690,High Engagers,0.761
F04709,High Engagers,0.76
F01598,High Engagers,0.76
F04404,High Engagers,0.76
F03557,High Engagers,0.76
F05480,High Engagers,0.76
F01401,High Engagers,0.76
F01888,High Engagers,0.759
F04096,High Engagers,0.759
F02059,High Engagers,0.759
F01487,High Engagers,0.759
F00885,High Engagers,0.759
F02620,High Engagers,0.759
F00087,High Engagers,0.759
F03046,High Engagers,0.759
F00114,High Engagers,0.758
F00163,High Engagers,0.758
F04542,High Engagers,0.758
F03674,High Engagers,0.758
F05044,High Engagers,0.758
F02100,High Engagers,0.757
F02681,High Engagers,0.757
F03262,High Engagers,0.757
F05736,High Engagers,0.757
F00559,High Engagers,0.757
F03648,High Engagers,0.757
F03054,High Engagers,0.757
F05891,High Engagers,0.757
F03666,High Engagers,0.757
F04566,High Engagers,0.757
F04939,High Engagers,0.756
F04002,High Engagers,0.756
F03470,High Engagers,0.756
F03556,High Engagers,0.756
F05233,High Engagers,0.755
F03238,High Engagers,0.755
F04282,High Engagers,0.755
F03126,Super Fans,0.755
F04587,High Engagers,0.755
F04565,Super Fans,0.755
F00631,High Engagers,0.754
F04845,High Engagers,0.754
F05867,High Engagers,0.753
F00661,High Engagers,0.753
F04859,High Engagers,0.753
F03223,High Engagers,0.753
F00269,High Engagers,0.752
F04951,High Engagers,0.752
F02375,High Engagers,0.752
F03529,High Engagers,0.752
F05722,Super Fans,0.752
F01179,Super Fans,0.751
F02104,High Engagers,0.751
F04459,High Engagers,0.751
F00643,High Engagers,0.751
F04183,High Engagers,0.751
F04754,Super Fans,0.751
F00507,Super Fans,0.751
F04972,Super Fans,0.751
F04320,High Engagers,0.751
F05375,High Engagers,0.75
F04701,High Engagers,0.75
F01291,High Engagers,0.75
F03284,Super Fans,0.75
F02084,High Engagers,0.75
F04926,Super Fans,0.75
F04114,High Engagers,0.75
F02951,High Engagers,0.749
F04722,High Engagers,0.749
F02457,High Engagers,0.749
F05362,High Engagers,0.749
F02747,High Engagers,0.749
F00534,High Engagers,0.748
F01347,High Engagers,0.748
F03700,High Engagers,0.748
F01213,High Engagers,0.748
F04242,High Engagers,0.748
F03736,High Engagers,0.748
F01668,High Engagers,0.748
F03722,Super Fans,0.748
F01439,High Engagers,0.747
F05809,High Engagers,0.747
F03686,High Engagers,0.747
F05502,High Engagers,0.747
F00034,High Engagers,0.746
F05548,Super Fans,0.746
F05593,High Engagers,0.746
F01000,High Engagers,0.746
F02184,High Engagers,0.745
F01576,High Engagers,0.745
F03175,High Engagers,0.745
F02753,High Engagers,0.745
F03335,High Engagers,0.745
F00940,High Engagers,0.745
F04344,High Engagers,0.745
F01336,High Engagers,0.744
F04633,Super Fans,0.744
F04970,High Engagers,0.744
F03066,High Engagers,0.744
F00140,High Engagers,0.744
F00050,High Engagers,0.743
F01702,High Engagers,0.743
F02958,Super Fans,0.743
F05213,Super Fans,0.743
F04925,High Engagers,0.743
F02593,High Engagers,0.742
F01834,Super Fans,0.742
F00944,Super Fans,0.741
F05337,High Engagers,0.741
F04099,High Engagers,0.74
F03795,High Engagers,0.739
F04811,Super Fans,0.739
F01642,High Engagers,0.739
F01201,High Engagers,0.739
F05127,High Engagers,0.739
F03373,High Engagers,0.739
F04931,High Engagers,0.739
F01603,High Engagers,0.738
F00103,High Engagers,0.738
F03862,High Engagers,0.738
F04848,Super Fans,0.738
F04896,Super Fans,0.738
F00250,High Engagers,0.737
F01460,Super Fans,0.736
F04726,High Engagers,0.736
F00380,High Engagers,0.736
F01739,High Engagers,0.736
F02742,High Engagers,0.735
F05491,Super Fans,0.735
F05304,High Engagers,0.735
F02040,High Engagers,0.735
F03382,High Engagers,0.735
F05374,Super Fans,0.735
F01768,Super Fans,0.735
F04506,Super Fans,0.734
F05314,High Engagers,0.734
F04113,High Engagers,0.734
F03135,High Engagers,0.733
F00964,High Engagers,0.733
F02258,High Engagers,0.732
F03379,High Engagers,0.732
F03127,High Engagers,0.731
F05522,High Engagers,0.73
F00626,High Engagers,0.73
F01916,High Engagers,0.73
F03799,High Engagers,0.729
F02026,High Engagers,0.729
F02228,Super Fans,0.729
F05358,High Engagers,0.728
F00804,High Engagers,0.728
F04564,High Engagers,0.728
F00202,Super Fans,0.728
F03091,High Engagers,0.728
F01124,High Engagers,0.727
F02226,Super Fans,0.726
F05887,High Engagers,0.726
F01936,High Engagers,0.726
F04090,High Engagers,0.726
F03744,High Engagers,0.726
F00164,High Engagers,0.726
F05389,Super Fans,0.726
F05049,High Engagers,0.725
F05059,High Engagers,0.725
F02477,High Engagers,0.725
F04380,Super Fans,0.725
F02745,High Engagers,0.725
F02914,Super Fans,0.724
F02795,High Engagers,0.724
F05417,High Engagers,0.724
F04681,Super Fans,0.724
F00735,High Engagers,0.724
F05134,Super Fans,0.723
F01217,Super Fans,0.723
F05095,High Engagers,0.722
F05386,Super Fans,0.722
F02425,High Engagers,0.722
F05783,High Engagers,0.722
F03489,High Engagers,0.721
F05781,High Engagers,0.721
F00971,Super Fans,0.721
F02347,High Engagers,0.72
F02618,High Engagers,0.72
F01433,High Engagers,0.72
F02781,Super Fans,0.72
F01604,High Engagers,0.719
F03177,High Engagers,0.718
F02034,High Engagers,0.718
F02628,Super Fans,0.717
F05189,High Engagers,0.716
F00107,Super Fans,0.716
F01098,High Engagers,0.714
F05055,High Engagers,0.714
F01698,High Engagers,0.713
F03966,Super Fans,0.713
F00671,High Engagers,0.713
F01723,High Engagers,0.712
F04906,High Engagers,0.712
F02306,Super Fans,0.712
F00741,High Engagers,0.712
F01697,High Engagers,0.712
F03403,Super Fans,0.712
F03726,Super Fans,0.711
F03214,High Engagers,0.711
F01588,High Engagers,0.71
F00656,High Engagers,0.709
F04733,Super Fans,0.708
F04574,High Engagers,0.708
F05810,High Engagers,0.706
F03260,High Engagers,0.706
F01881,High Engagers,0.706
F04389,High Engagers,0.705
F00914,High Engagers,0.704
F04850,High Engagers,0.7
F03361,Super Fans,0.7
F05201,High Engagers,0.7
F00972,High Engagers,0.7
F00462,High Engagers,0.7
F04103,Super Fans,0.7
F00521,High Engagers,0.699
F05209,Super Fans,0.697
F04966,High Engagers,0.696
F01795,High Engagers,0.696
F03954,Super Fans,0.693
F04957,Super Fans,0.692
F05721,High Engagers,0.692
F03070,Super Fans,0.691
F03560,Super Fans,0.689
F04104,High Engagers,0.687
F04878,High Engagers,0.687
F00419,High Engagers,0.687
F01735,High Engagers,0.685
F01987,High Engagers,0.683
F02124,Super Fans,0.682
F02702,High Engagers,0.681
F02058,High Engagers,0.68
F05609,High Engagers,0.679
F03555,High Engagers,0.673
F01550,Super Fans,0.672
F03638,High Engagers,0.672
F03595,High Engagers,0.671
F00180,High Engagers,0.671
F01443,Super Fans,0.671
F00965,Super Fans,0.671
F04452,High Engagers,0.67
F05473,High Engagers,0.669
F01289,High Engagers,0.668
F04394,High Engagers,0.666
F03386,Super Fans,0.664
F05989,Super Fans,0.659
F04045,High Engagers,0.657
F01441,Super Fans,0.649
F03472,High Engagers,0.648
F00738,High Engagers,0.647
F01808,High Engagers,0.645
F05892,Super Fans,0.642
F02845,Super Fans,0.634
F01845,Super Fans,0.632
F00331,High Engagers,0.63
F03131,Super Fans,0.623
F00562,High Engagers,0.622
F03228,Super Fans,0.622
F02988,Super Fans,0.618
F00196,Super Fans,0.615
F00635,Super Fans,0.614
F00912,High Engagers,0.614
F04512,Super Fans,0.609
F03485,High Engagers,0.603
F01418,High Engagers,0.601
F04765,Super Fans,0.596
F01995,Super Fans,0.584
F05200,Super Fans,0.579
F04342,High Engagers,0.564
F01805,Super Fans,0.561
F02051,High Engagers,0.551
F05071,High Engagers,0.551
F05035,High Engagers,0.548
F00286,Super Fans,0.542
F03702,High Engagers,0.534
F05600,High Engagers,0.533
F05173,Super Fans,0.533
F01390,Super Fans,0.532
F03519,Super Fans,0.531
F04866,High Engagers,0.523
F01230,Super Fans,0.519
F04792,High Engagers,0.516
F05826,High Engagers,0.508
F05982,High Engagers,0.507
F03332,Super Fans,0.498
F02761,High Engagers,0.492
F04124,High Engagers,0.491
F01589,High Engagers,0.487
F01422,High Engagers,0.47
F05339,Super Fans,0.455
F00739,Super Fans,0.452
F01724,Super Fans,0.401
F01237,Super Fans,0.396
F01413,Super Fans,0.351
F01676,Casual Followers,0.271
F01133,Casual Followers,0.266
F04006,Digital Browsers,0.251
F00924,Casual Followers,0.24
F05464,Digital Browsers,0.23
F01069,Casual Followers,0.227
F04266,Digital Browsers,0.226
F05183,Digital Browsers,0.21
F04391,Digital Browsers,0.207
F01096,Casual Followers,0.195
F00975,Casual Followers,0.189
F04247,Digital Browsers,0.182
F00798,Dormant / At-Risk,0.178
F01257,Casual Followers,0.176
F00870,Digital Browsers,0.171
F03421,Casual Followers,0.167
F04231,Casual Followers,0.162
F01021,Digital Browsers,0.162
F04829,Dormant / At-Risk,0.162
F05797,Digital Browsers,0.162
F05723,Casual Followers,0.161
F03983,Digital Browsers,0.161
F03980,Digital Browsers,0.16
F01572,Casual Followers,0.158
F01500,Casual Followers,0.158
F02889,Digital Browsers,0.157
F00307,Digital Browsers,0.156
F04799,Dormant / At-Risk,0.156
F05367,Digital Browsers,0.156
F05287,Digital Browsers,0.155
F01029,Digital Browsers,0.153
F00236,Digital Browsers,0.151
F05387,Casual Followers,0.151
F03199,Dormant / At-Risk,0.15
F02623,Digital Browsers,0.149
F05118,Dormant / At-Risk,0.149
F01559,Digital Browsers,0.146
F04689,Dormant / At-Risk,0.144
F01126,Dormant / At-Risk,0.144
F00594,Digital Browsers,0.143
F05169,Digital Browsers,0.141
F04985,Digital Browsers,0.14
F03169,Casual Followers,0.14
F02257,Digital Browsers,0.14
F04214,Digital Browsers,0.138
F05366,Casual Followers,0.137
F04392,Digital Browsers,0.137
F02775,Casual Followers,0.136
F01710,Dormant / At-Risk,0.136
F01765,Dormant / At-Risk,0.136
F05959,Digital Browsers,0.135
F02892,Dormant / At-Risk,0.135
F00865,Dormant / At-Risk,0.134
F04941,Digital Browsers,0.134
F00350,Casual Followers,0.134
F04882,Casual Followers,0.133
F00228,Digital Browsers,0.133
F03955,Casual Followers,0.133
F05208,Dormant / At-Risk,0.132
F03567,Digital Browsers,0.132
F05598,Dormant / At-Risk,0.132
F00035,Digital Browsers,0.131
F01755,Dormant / At-Risk,0.13
F02953,Casual Followers,0.13
F01686,Dormant / At-Risk,0.13
F00278,Digital Browsers,0.129
F01918,Digital Browsers,0.129
F01006,Digital Browsers,0.129
F02698,Casual Followers,0.129
F03481,Digital Browsers,0.128
F05900,Dormant / At-Risk,0.128
F05418,Dormant / At-Risk,0.128
F02272,Dormant / At-Risk,0.128
F05214,Dormant / At-Risk,0.127
F05411,Digital Browsers,0.127
F02364,Dormant / At-Risk,0.127
F04053,Digital Browsers,0.126
F00832,Digital Browsers,0.126
F01748,Digital Browsers,0.126
F05868,Dormant / At-Risk,0.125
F00977,Casual Followers,0.125
F04723,Digital Browsers,0.125
F03348,Dormant / At-Risk,0.125
F02089,Digital Browsers,0.124
F05793,Casual Followers,0.124
F02634,Digital Browsers,0.124
F04145,Digital Browsers,0.123
F04449,Digital Browsers,0.123
F04376,Digital Browsers,0.122
F05032,Digital Browsers,0.122
F02114,Casual Followers,0.121
F05243,Dormant / At-Risk,0.121
F00368,Dormant / At-Risk,0.121
F04469,Digital Browsers,0.12
F02006,Digital Browsers,0.119
F02840,Casual Followers,0.119
F01101,Casual Followers,0.119
F05451,Digital Browsers,0.119
F03448,Digital Browsers,0.119
F03935,Casual Followers,0.118
F01922,Digital Browsers,0.118
F02430,Dormant / At-Risk,0.117
F05946,Casual Followers,0.117
F02467,Digital Browsers,0.117
F05445,Dormant / At-Risk,0.116
F05083,Digital Browsers,0.116
F00589,Dormant / At-Risk,0.116
F02091,Digital Browsers,0.116
F00515,Dormant / At-Risk,0.116
