fan_id,city,favorite_team,age,segment,loyalty_points,sessions,conversion_rate
F00033,Mumbai,France,27,Dormant / At-Risk,44,3.0,0.0
F00034,Delhi,Brazil,16,High Engagers,22,2.0,0.5
F00035,Pune,Portugal,37,Digital Browsers,278,7.0,0.0
F00036,Hyderabad,Brazil,27,Casual Followers,125,4.0,0.0
F00037,Mumbai,Croatia,21,Digital Browsers,24,6.0,0.0
F00038,Kolkata,USA,29,Dormant / At-Risk,19,2.0,0.0
F00039,Delhi,Spain,31,Dormant / At-Risk,10,1.0,0.0
F00040,Pune,Mexico,21,Casual Followers,254,2.0,0.0
F00041,Ahmedabad,Brazil,29,Dormant / At-Risk,85,1.0,0.0
F00042,Pune,England,29,Digital Browsers,49,5.0,0.0
F00043,Pune,Portugal,47,Digital Browsers,85,7.0,0.0
F00044,Delhi,Argentina,41,Dormant / At-Risk,34,2.0,0.0
F00045,Bengaluru,Spain,27,Casual Followers,122,4.0,0.0
F00046,Delhi,Argentina,40,Dormant / At-Risk,134,2.0,0.0
F00047,Mumbai,USA,36,Digital Browsers,28,4.0,0.0
F00048,Delhi,England,40,Digital Browsers,47,4.0,0.0
F00049,Delhi,India,29,Digital Browsers,97,5.0,0.0
F00050,Mumbai,England,27,High Engagers,47,3.0,0.6666666666666666
F00051,Pune,India,33,Dormant / At-Risk,87,3.0,0.0
F00052,Hyderabad,Argentina,36,Casual Followers,117,1.0,0.0
F00053,Mumbai,India,16,Casual Followers,84,4.0,0.25
F00054,Hyderabad,Germany,26,Digital Browsers,28,7.0,0.2857142857142857
F00055,Mumbai,Belgium,21,Casual Followers,106,2.0,0.0
F00056,Kolkata,Spain,29,Dormant / At-Risk,4,2.0,0.0
F00057,Bengaluru,Portugal,30,Digital Browsers,80,4.0,0.0
F00058,Bengaluru,Japan,16,Digital Browsers,77,4.0,0.0
F00059,Mumbai,Belgium,27,Digital Browsers,186,5.0,0.2
F00060,Mumbai,France,34,Dormant / At-Risk,10,0.0,0.0
F00061,Mumbai,Argentina,18,Dormant / At-Risk,4,0.0,0.0
F00062,Kolkata,Spain,36,Digital Browsers,35,5.0,0.0
F00063,Hyderabad,Netherlands,31,Dormant / At-Risk,8,1.0,0.0
F00064,Kolkata,India,33,Digital Browsers,30,4.0,0.0
F00065,Chennai,Italy,17,Digital Browsers,236,4.0,0.0
F00066,Mumbai,Portugal,21,Dormant / At-Risk,44,1.0,0.0
F00067,Bengaluru,Croatia,29,Digital Browsers,112,8.0,0.0
F00068,Delhi,Portugal,23,Dormant / At-Risk,3,1.0,0.0
F00069,Delhi,Portugal,18,Digital Browsers,143,4.0,0.0
F00070,Delhi,England,16,Digital Browsers,18,4.0,0.0
F00071,Kolkata,Portugal,27,Dormant / At-Risk,40,0.0,0.0
F00072,Pune,Netherlands,26,Digital Browsers,11,5.0,0.2
F00073,Chennai,USA,29,Dormant / At-Risk,29,3.0,0.0
F00074,Mumbai,Italy,16,Dormant / At-Risk,38,3.0,0.0
F00075,Bengaluru,Spain,46,Digital Browsers,77,7.0,0.14285714285714285
F00076,Hyderabad,Japan,16,Digital Browsers,52,4.0,0.0
F00077,Hyderabad,Germany,19,Dormant / At-Risk,96,3.0,0.0
F00078,Ahmedabad,Argentina,16,Dormant / At-Risk,109,1.0,0.0
F00079,Kolkata,France,20,Digital Browsers,152,7.0,0.0
F00080,Pune,Argentina,40,Digital Browsers,19,5.0,0.2
F00081,Mumbai,France,17,Dormant / At-Risk,20,3.0,0.0
F00082,Mumbai,Brazil,35,High Engagers,21,4.0,0.25
F00083,Delhi,Morocco,20,Casual Followers,8,4.0,0.0
F00084,Bengaluru,Croatia,33,Digital Browsers,3,5.0,0.0
F00085,Hyderabad,Mexico,42,Casual Followers,5,3.0,0.0
F00086,Mumbai,England,44,High Engagers,37,4.0,0.25
F00087,Mumbai,Germany,16,High Engagers,66,2.0,0.5
F00088,Mumbai,Argentina,35,Dormant / At-Risk,62,3.0,0.0
F00089,Ahmedabad,Germany,41,Dormant / At-Risk,24,0.0,0.0
F00090,Ahmedabad,Brazil,30,Casual Followers,6,4.0,0.0
F00091,Delhi,France,24,Dormant / At-Risk,18,3.0,0.0
F00092,Pune,Argentina,39,High Engagers,9,4.0,0.25
F00093,Bengaluru,Brazil,28,Digital Browsers,42,5.0,0.0
F00094,Ahmedabad,Netherlands,18,Casual Followers,115,2.0,0.0
F00095,Pune,Spain,24,Digital Browsers,5,5.0,0.2
F00096,Kolkata,England,16,Digital Browsers,11,5.0,0.0
F00097,Bengaluru,Brazil,38,Digital Browsers,42,4.0,0.0
F00098,Kolkata,Portugal,26,Casual Followers,22,1.0,0.0
F00099,Bengaluru,Belgium,26,Dormant / At-Risk,35,2.0,0.0
F00100,Mumbai,Portugal,29,Digital Browsers,18,4.0,0.0
F00101,Hyderabad,Belgium,33,Dormant / At-Risk,123,2.0,0.0
F00102,Kolkata,France,19,Casual Followers,10,4.0,0.0
F00103,Chennai,Brazil,25,High Engagers,2,4.0,0.25
F00104,Pune,Spain,31,Dormant / At-Risk,7,2.0,0.0
F00105,Ahmedabad,England,44,Digital Browsers,20,5.0,0.2
F00106,Pune,France,35,Digital Browsers,66,8.0,0.125
F00107,Ahmedabad,Brazil,23,Super Fans,440,3.0,0.0
F00108,Hyderabad,France,36,Digital Browsers,4,7.0,0.14285714285714285
F00109,Pune,Croatia,29,Dormant / At-Risk,97,1.0,0.0
F00110,Kolkata,Brazil,18,Dormant / At-Risk,30,3.0,0.0
F00111,Ahmedabad,Germany,37,Dormant / At-Risk,56,2.0,0.0
F00112,Delhi,England,16,Casual Followers,8,2.0,0.0
F00113,Chennai,Croatia,23,Digital Browsers,233,5.0,0.0
F00114,Chennai,Brazil,25,High Engagers,13,3.0,0.3333333333333333
F00115,Kolkata,Portugal,45,Casual Followers,62,3.0,0.0
F00116,Hyderabad,Mexico,39,Dormant / At-Risk,26,3.0,0.0
F00117,Chennai,Netherlands,29,Casual Followers,105,3.0,0.0
F00118,Delhi,England,22,Digital Browsers,25,5.0,0.0
F00119,Chennai,France,31,Casual Followers,26,2.0,0.0
F00120,Ahmedabad,Brazil,26,Super Fans,723,8.0,0.125
F00121,Mumbai,Germany,31,Casual Followers,47,2.0,0.0
F00122,Pune,England,47,Dormant / At-Risk,39,1.0,0.0
F00123,Chennai,Italy,26,Dormant / At-Risk,87,2.0,0.0
F00124,Delhi,Spain,26,Casual Followers,108,2.0,0.0
F00125,Mumbai,Belgium,38,Digital Browsers,83,6.0,0.0
F00126,Chennai,England,38,Casual Followers,57,2.0,0.0
F00127,Pune,Argentina,48,Dormant / At-Risk,18,3.0,0.0
F00128,Delhi,Morocco,23,Dormant / At-Risk,6,2.0,0.0
F00129,Pune,France,46,Digital Browsers,77,4.0,0.0
F00130,Delhi,Brazil,30,Dormant / At-Risk,8,2.0,0.0
F00131,Mumbai,France,33,Digital Browsers,58,8.0,0.125
F00132,Kolkata,India,37,Digital Browsers,8,5.0,0.0
F00133,Bengaluru,France,26,High Engagers,18,3.0,0.3333333333333333
F00134,Ahmedabad,England,35,Dormant / At-Risk,16,3.0,0.0
F00135,Mumbai,Portugal,33,Dormant / At-Risk,18,1.0,0.0
F00136,Delhi,Belgium,16,Dormant / At-Risk,29,1.0,0.0
F00137,Kolkata,England,33,Digital Browsers,11,4.0,0.0
F00138,Pune,England,32,Casual Followers,37,2.0,0.0
F00139,Hyderabad,England,30,Digital Browsers,15,5.0,0.0
F00140,Hyderabad,India,30,High Engagers,5,3.0,0.3333333333333333
F00141,Pune,Italy,27,Dormant / At-Risk,52,2.0,0.0
F00142,Chennai,France,16,Digital Browsers,148,6.0,0.0
F00143,Delhi,France,24,Digital Browsers,16,4.0,0.0
F00144,Mumbai,Germany,41,Dormant / At-Risk,22,2.0,0.0
F00145,Ahmedabad,England,42,High Engagers,13,2.0,0.5
F00146,Kolkata,Japan,29,Digital Browsers,84,5.0,0.0
F00147,Mumbai,Mexico,23,Casual Followers,49,3.0,0.0
F00148,Mumbai,India,16,Dormant / At-Risk,13,3.0,0.0
F00149,Ahmedabad,India,40,Dormant / At-Risk,5,4.0,0.0
F00150,Delhi,Portugal,35,Casual Followers,25,3.0,0.0
F00151,Bengaluru,USA,21,Digital Browsers,61,4.0,0.0
F00152,Hyderabad,Germany,33,High Engagers,143,4.0,0.25
F00153,Ahmedabad,USA,28,Dormant / At-Risk,33,2.0,0.0
F00154,Bengaluru,Germany,16,Digital Browsers,84,4.0,0.0
F00155,Mumbai,Portugal,23,Casual Followers,11,2.0,0.0
F00156,Pune,France,22,Casual Followers,25,5.0,0.0
F00157,Kolkata,Germany,26,Casual Followers,230,2.0,0.0
F00158,Delhi,Germany,34,Dormant / At-Risk,18,3.0,0.0
F00159,Mumbai,Argentina,21,Digital Browsers,81,4.0,0.0
F00160,Mumbai,Germany,35,Dormant / At-Risk,30,3.0,0.0
F00161,Bengaluru,England,22,Dormant / At-Risk,0,2.0,0.0
F00162,Mumbai,Netherlands,16,Dormant / At-Risk,127,2.0,0.0
F00163,Chennai,France,20,High Engagers,19,4.0,0.5
F00164,Kolkata,Portugal,17,High Engagers,177,2.0,0.5
F00165,Bengaluru,Brazil,19,Dormant / At-Risk,1,2.0,0.0
F00166,Delhi,Morocco,37,Dormant / At-Risk,174,3.0,0.0
F00167,Mumbai,Spain,27,Digital Browsers,11,7.0,0.0
F00168,Kolkata,Italy,22,Dormant / At-Risk,20,3.0,0.0
F00169,Pune,India,33,Digital Browsers,24,4.0,0.0
F00170,Bengaluru,Spain,34,Digital Browsers,3,8.0,0.125
F00171,Delhi,Spain,39,Dormant / At-Risk,6,2.0,0.0
F00172,Mumbai,Mexico,27,Digital Browsers,40,7.0,0.0
F00173,Delhi,Argentina,34,Dormant / At-Risk,71,2.0,0.0
F00174,Ahmedabad,Spain,18,Dormant / At-Risk,13,3.0,0.0
F00175,Hyderabad,Portugal,42,High Engagers,32,3.0,0.3333333333333333
F00176,Pune,Portugal,42,Dormant / At-Risk,110,3.0,0.0
F00177,Mumbai,Brazil,36,Dormant / At-Risk,17,3.0,0.0
F00178,Chennai,Brazil,30,Digital Browsers,44,4.0,0.0
F00179,Delhi,Germany,36,Super Fans,357,4.0,0.25
F00180,Hyderabad,England,16,High Engagers,2,3.0,0.3333333333333333
F00181,Chennai,Belgium,20,Dormant / At-Risk,27,2.0,0.0
F00182,Mumbai,India,22,Digital Browsers,3,4.0,0.0
F00183,Ahmedabad,France,16,Dormant / At-Risk,68,1.0,0.0
F00184,Kolkata,Argentina,20,Digital Browsers,77,4.0,0.0
F00185,Pune,Italy,31,Dormant / At-Risk,92,2.0,0.0
F00186,Ahmedabad,Japan,31,High Engagers,28,3.0,0.3333333333333333
F00187,Delhi,Argentina,32,High Engagers,63,3.0,0.3333333333333333
F00188,Hyderabad,Portugal,31,High Engagers,134,3.0,0.3333333333333333
F00189,Kolkata,Mexico,29,Digital Browsers,7,5.0,0.0
F00190,Bengaluru,Germany,22,Digital Browsers,0,4.0,0.0
F00191,Kolkata,Japan,31,Digital Browsers,8,7.0,0.0
F00192,Kolkata,England,39,Digital Browsers,1,4.0,0.0
F00193,Bengaluru,Portugal,16,Digital Browsers,172,7.0,0.14285714285714285
F00194,Mumbai,Japan,21,Digital Browsers,81,6.0,0.16666666666666666
F00195,Delhi,Morocco,16,Dormant / At-Risk,160,2.0,0.0
F00196,Delhi,England,19,Super Fans,352,2.0,0.0
F00197,Kolkata,Netherlands,33,Casual Followers,18,5.0,0.0
F00198,Pune,England,22,Digital Browsers,56,4.0,0.0
F00199,Mumbai,France,17,Dormant / At-Risk,81,2.0,0.0
F00200,Pune,Spain,32,Dormant / At-Risk,118,2.0,0.0
F00201,Delhi,England,27,Super Fans,423,2.0,0.0
F00202,Bengaluru,France,44,Super Fans,997,4.0,0.0
F00203,Mumbai,India,27,Digital Browsers,93,6.0,0.16666666666666666
F00204,Chennai,Brazil,39,Dormant / At-Risk,58,1.0,0.0
F00205,Pune,Spain,32,Dormant / At-Risk,35,1.0,0.0
F00206,Delhi,England,39,Digital Browsers,29,5.0,0.2
F00207,Pune,Portugal,16,High Engagers,29,1.0,1.0
F00208,Chennai,Argentina,16,Dormant / At-Risk,34,3.0,0.0
F00209,Ahmedabad,Brazil,33,Digital Browsers,1,4.0,0.0
F00210,Pune,Italy,21,Casual Followers,9,3.0,0.0
F00211,Pune,England,43,Digital Browsers,1,4.0,0.0
F00212,Bengaluru,India,50,Dormant / At-Risk,88,1.0,0.0
F00213,Ahmedabad,Belgium,34,Casual Followers,50,3.0,0.0
F00214,Chennai,England,37,Super Fans,429,5.0,0.0
F00215,Bengaluru,Italy,33,Dormant / At-Risk,54,3.0,0.0
F00216,Ahmedabad,Argentina,16,Dormant / At-Risk,201,2.0,0.0
F00217,Chennai,England,19,High Engagers,66,2.0,0.5
F00218,Chennai,Argentina,18,Dormant / At-Risk,14,3.0,0.0
F00219,Hyderabad,France,25,Digital Browsers,6,8.0,0.125
F00220,Hyderabad,Argentina,37,Casual Followers,9,5.0,0.0
F00221,Kolkata,Brazil,28,Digital Browsers,16,8.0,0.125
F00222,Hyderabad,USA,20,Casual Followers,34,3.0,0.0
F00223,Delhi,Germany,28,High Engagers,19,2.0,0.5
F00224,Ahmedabad,Argentina,29,Digital Browsers,241,7.0,0.0
F00225,Hyderabad,France,21,Casual Followers,4,1.0,0.0
F00226,Hyderabad,Italy,40,Dormant / At-Risk,4,1.0,0.0
F00227,Hyderabad,England,22,Casual Followers,3,5.0,0.0
F00228,Ahmedabad,Mexico,29,Digital Browsers,2,6.0,0.0
F00229,Chennai,Brazil,33,Casual Followers,242,1.0,0.0
F00230,Ahmedabad,Netherlands,24,Digital Browsers,42,7.0,0.0
F00231,Bengaluru,Morocco,16,Digital Browsers,11,5.0,0.0
F00232,Chennai,Japan,17,Dormant / At-Risk,23,1.0,0.0
F00233,Delhi,Mexico,32,Digital Browsers,0,5.0,0.0
F00234,Hyderabad,Argentina,19,Casual Followers,0,4.0,0.0
F00235,Bengaluru,Mexico,23,Dormant / At-Risk,1,3.0,0.0
F00236,Mumbai,Portugal,43,Digital Browsers,75,6.0,0.16666666666666666
F00237,Hyderabad,India,26,Dormant / At-Risk,91,1.0,0.0
F00238,Bengaluru,Portugal,26,Digital Browsers,100,5.0,0.0
F00239,Chennai,France,24,Dormant / At-Risk,22,3.0,0.0
F00240,Chennai,USA,16,Casual Followers,133,4.0,0.0
F00241,Chennai,England,16,Dormant / At-Risk,1,3.0,0.0
F00242,Hyderabad,USA,31,Dormant / At-Risk,40,2.0,0.0
F00243,Kolkata,Argentina,30,Casual Followers,25,2.0,0.0
F00244,Kolkata,Germany,43,Digital Browsers,52,5.0,0.0
F00245,Ahmedabad,Germany,48,Dormant / At-Risk,30,3.0,0.0
F00246,Kolkata,Spain,23,Dormant / At-Risk,5,3.0,0.0
F00247,Mumbai,USA,36,Casual Followers,6,5.0,0.0
F00248,Bengaluru,Brazil,21,Dormant / At-Risk,83,1.0,0.0
F00249,Hyderabad,Croatia,38,High Engagers,141,2.0,0.5
F00250,Ahmedabad,Italy,16,High Engagers,5,7.0,0.42857142857142855
F00251,Bengaluru,India,37,Casual Followers,54,4.0,0.0
F00252,Hyderabad,Mexico,41,Dormant / At-Risk,18,2.0,0.0
F00253,Pune,Mexico,20,Super Fans,334,4.0,0.0
F00254,Pune,England,29,Digital Browsers,108,7.0,0.2857142857142857
F00255,Delhi,Portugal,20,Digital Browsers,135,4.0,0.0
F00256,Kolkata,Germany,25,Digital Browsers,195,4.0,0.0
F00257,Ahmedabad,Brazil,27,Dormant / At-Risk,119,2.0,0.0
F00258,Bengaluru,Croatia,39,Digital Browsers,7,5.0,0.0
F00259,Bengaluru,France,26,Dormant / At-Risk,48,3.0,0.0
F00260,Ahmedabad,Mexico,30,Dormant / At-Risk,112,4.0,0.0
F00261,Bengaluru,Portugal,31,Casual Followers,58,3.0,0.0
F00262,Hyderabad,Spain,36,Dormant / At-Risk,25,2.0,0.0
F00263,Mumbai,Argentina,25,Casual Followers,89,2.0,0.0
F00264,Pune,Argentina,27,Dormant / At-Risk,46,1.0,0.0
F00265,Bengaluru,Argentina,32,Dormant / At-Risk,16,2.0,0.0
F00266,Delhi,Germany,24,Dormant / At-Risk,64,1.0,0.0
F00267,Delhi,Mexico,49,Casual Followers,9,3.0,0.0
F00268,Ahmedabad,Italy,38,Casual Followers,3,1.0,0.0
F00269,Chennai,France,28,High Engagers,26,2.0,0.5
F00270,Pune,Spain,47,Digital Browsers,78,4.0,0.0
F00271,Chennai,Croatia,31,High Engagers,30,3.0,0.3333333333333333
F00272,Hyderabad,Spain,30,Digital Browsers,110,8.0,0.0
F00273,Chennai,Argentina,24,High Engagers,8,3.0,0.3333333333333333
F00274,Chennai,Netherlands,28,Dormant / At-Risk,33,3.0,0.0
F00275,Mumbai,France,16,Digital Browsers,104,4.0,0.0
F00276,Kolkata,France,22,Digital Browsers,35,6.0,0.16666666666666666
F00277,Delhi,Belgium,19,Dormant / At-Risk,12,0.0,0.0
F00278,Ahmedabad,England,47,Digital Browsers,1,6.0,0.0
F00279,Hyderabad,Morocco,29,Digital Browsers,46,6.0,0.0
F00280,Ahmedabad,Spain,16,Digital Browsers,116,5.0,0.0
F00281,Kolkata,Brazil,29,Digital Browsers,3,4.0,0.0
F00282,Hyderabad,Italy,25,Digital Browsers,61,7.0,0.14285714285714285
F00283,Bengaluru,Spain,30,Digital Browsers,47,4.0,0.0
F00284,Ahmedabad,Argentina,18,Casual Followers,82,3.0,0.0
F00285,Pune,Spain,35,Casual Followers,44,1.0,0.0
F00286,Hyderabad,Spain,46,Super Fans,279,5.0,0.0
F00287,Bengaluru,England,20,Dormant / At-Risk,61,1.0,0.0
F00288,Bengaluru,USA,26,Dormant / At-Risk,10,2.0,0.0
F00289,Chennai,Portugal,23,Dormant / At-Risk,75,1.0,0.0
F00290,Pune,England,36,Dormant / At-Risk,43,2.0,0.0
F00291,Bengaluru,USA,24,Digital Browsers,173,5.0,0.0
F00292,Pune,England,36,Dormant / At-Risk,4,1.0,0.0
F00293,Mumbai,Brazil,32,Dormant / At-Risk,2,3.0,0.0
F00294,Pune,Netherlands,17,High Engagers,45,4.0,0.25
F00295,Ahmedabad,Brazil,30,Digital Browsers,1,5.0,0.0
F00296,Chennai,England,35,Dormant / At-Risk,17,0.0,0.0
F00297,Bengaluru,Netherlands,33,Digital Browsers,62,4.0,0.0
F00298,Ahmedabad,Brazil,24,Digital Browsers,29,10.0,0.1
F00299,Ahmedabad,Germany,24,Dormant / At-Risk,231,2.0,0.0
F00300,Mumbai,Morocco,28,Casual Followers,89,2.0,0.0
F00301,Hyderabad,Argentina,23,Dormant / At-Risk,4,2.0,0.0
F00302,Mumbai,Croatia,36,Dormant / At-Risk,5,4.0,0.0
F00303,Ahmedabad,Italy,16,High Engagers,11,1.0,1.0
F00304,Delhi,Spain,44,Dormant / At-Risk,46,1.0,0.0
F00305,Hyderabad,Mexico,23,Casual Followers,13,4.0,0.0
F00306,Kolkata,England,31,Casual Followers,3,2.0,0.0
F00307,Chennai,Argentina,32,Digital Browsers,12,5.0,0.0
F00308,Delhi,Portugal,16,Dormant / At-Risk,21,3.0,0.0
F00309,Pune,Brazil,24,High Engagers,5,3.0,0.3333333333333333
F00310,Bengaluru,Morocco,41,Dormant / At-Risk,89,0.0,0.0
F00311,Ahmedabad,Netherlands,16,Dormant / At-Risk,33,1.0,0.0
F00312,Pune,Brazil,21,Dormant / At-Risk,67,2.0,0.0
F00313,Mumbai,Brazil,16,High Engagers,30,3.0,0.3333333333333333
F00314,Ahmedabad,Argentina,29,Casual Followers,34,4.0,0.0
F00315,Hyderabad,Croatia,29,Digital Browsers,1,4.0,0.0
F00316,Chennai,Italy,34,High Engagers,98,4.0,0.25
F00317,Hyderabad,Japan,21,Casual Followers,24,4.0,0.0
F00318,Ahmedabad,USA,37,Dormant / At-Risk,5,3.0,0.0
F00319,Delhi,Croatia,26,Digital Browsers,42,4.0,0.0
F00320,Ahmedabad,Germany,21,Casual Followers,11,3.0,0.0
F00321,Pune,Spain,34,Dormant / At-Risk,124,1.0,0.0
F00322,Delhi,France,31,Casual Followers,2,3.0,0.0
F00323,Delhi,Portugal,16,Digital Browsers,27,5.0,0.2
F00324,Mumbai,Spain,16,Dormant / At-Risk,29,2.0,0.0
F00325,Mumbai,Brazil,16,Digital Browsers,72,6.0,0.0
F00326,Mumbai,Belgium,16,Casual Followers,62,1.0,0.0
F00327,Delhi,India,29,Digital Browsers,12,4.0,0.0
F00328,Bengaluru,Spain,21,High Engagers,63,5.0,0.4
F00329,Hyderabad,Croatia,29,High Engagers,42,1.0,1.0
F00330,Ahmedabad,Croatia,27,High Engagers,18,3.0,0.3333333333333333
F00331,Hyderabad,England,25,High Engagers,55,6.0,0.3333333333333333
F00332,Pune,Spain,22,Dormant / At-Risk,239,2.0,0.0
F00333,Ahmedabad,Brazil,33,Casual Followers,85,2.0,0.0
F00334,Ahmedabad,Germany,33,Digital Browsers,38,5.0,0.0
F00335,Pune,Argentina,28,Digital Browsers,20,6.0,0.0
F00336,Bengaluru,France,25,Dormant / At-Risk,42,1.0,0.0
F00337,Bengaluru,Argentina,27,Digital Browsers,18,6.0,0.16666666666666666
F00338,Bengaluru,Portugal,35,Casual Followers,14,3.0,0.0
F00339,Delhi,Belgium,35,Dormant / At-Risk,63,3.0,0.0
F00340,Kolkata,Spain,19,Casual Followers,54,2.0,0.0
F00341,Ahmedabad,Portugal,36,Digital Browsers,22,9.0,0.1111111111111111
F00342,Ahmedabad,India,32,Casual Followers,94,3.0,0.0
F00343,Ahmedabad,Morocco,44,Dormant / At-Risk,8,3.0,0.0
F00344,Kolkata,Mexico,29,Dormant / At-Risk,11,3.0,0.0
F00345,Kolkata,France,37,Digital Browsers,137,7.0,0.0
F00346,Chennai,Spain,41,Dormant / At-Risk,2,2.0,0.0
F00347,Ahmedabad,Argentina,16,Dormant / At-Risk,80,2.0,0.0
F00348,Mumbai,Italy,24,Dormant / At-Risk,23,1.0,0.0
F00349,Delhi,Germany,35,Dormant / At-Risk,23,1.0,0.0
F00350,Pune,Mexico,20,Casual Followers,16,2.0,0.0
F00351,Kolkata,Portugal,29,Super Fans,299,0.0,0.0
F00352,Chennai,Spain,23,Dormant / At-Risk,2,2.0,0.0
F00353,Ahmedabad,Argentina,27,Digital Browsers,37,5.0,0.0
F00354,Mumbai,Germany,22,Dormant / At-Risk,177,1.0,0.0
F00355,Bengaluru,Brazil,33,Digital Browsers,18,6.0,0.0
F00356,Mumbai,Spain,17,Dormant / At-Risk,46,3.0,0.0
F00357,Chennai,Portugal,34,Digital Browsers,4,4.0,0.0
F00358,Delhi,Morocco,26,Dormant / At-Risk,25,1.0,0.0
F00359,Ahmedabad,Argentina,38,Casual Followers,140,5.0,0.2
F00360,Delhi,USA,35,Dormant / At-Risk,0,2.0,0.0
F00361,Hyderabad,India,16,Dormant / At-Risk,0,2.0,0.0
F00362,Delhi,Netherlands,31,Dormant / At-Risk,53,2.0,0.0
F00363,Chennai,Belgium,23,Digital Browsers,17,5.0,0.2
F00364,Pune,France,34,Dormant / At-Risk,30,2.0,0.0
F00365,Kolkata,Argentina,38,Dormant / At-Risk,38,3.0,0.0
F00366,Mumbai,France,29,Dormant / At-Risk,35,2.0,0.0
F00367,Pune,Spain,21,Dormant / At-Risk,1,2.0,0.0
F00368,Chennai,Brazil,28,Dormant / At-Risk,12,2.0,0.0
F00369,Ahmedabad,Spain,19,Dormant / At-Risk,18,2.0,0.0
F00370,Chennai,Germany,30,Digital Browsers,19,5.0,0.0
F00371,Bengaluru,Germany,50,High Engagers,68,2.0,0.5
F00372,Delhi,Brazil,30,Digital Browsers,86,5.0,0.0
F00373,Ahmedabad,France,21,Digital Browsers,49,4.0,0.0
F00374,Ahmedabad,Spain,36,Dormant / At-Risk,49,2.0,0.0
F00375,Hyderabad,Spain,30,Casual Followers,38,4.0,0.0
F00376,Ahmedabad,Japan,22,Digital Browsers,24,5.0,0.0
F00377,Delhi,England,29,Casual Followers,12,1.0,0.0
F00378,Kolkata,Brazil,22,High Engagers,227,3.0,0.3333333333333333
F00379,Pune,Japan,16,Dormant / At-Risk,27,3.0,0.0
F00380,Kolkata,Brazil,16,High Engagers,71,2.0,0.5
F00381,Delhi,Portugal,36,Digital Browsers,64,7.0,0.0
F00382,Ahmedabad,Germany,31,Casual Followers,48,3.0,0.0
F00383,Kolkata,Germany,33,Digital Browsers,49,7.0,0.0
F00384,Mumbai,France,37,Dormant / At-Risk,32,3.0,0.0
F00385,Hyderabad,Brazil,20,Digital Browsers,64,4.0,0.0
F00386,Bengaluru,Brazil,34,Digital Browsers,57,7.0,0.0
F00387,Pune,Mexico,45,Digital Browsers,89,4.0,0.0
F00388,Hyderabad,India,18,Dormant / At-Risk,88,3.0,0.0
F00389,Bengaluru,India,32,Digital Browsers,62,4.0,0.0
F00390,Hyderabad,Argentina,31,Dormant / At-Risk,33,2.0,0.0
F00391,Delhi,Argentina,31,Dormant / At-Risk,22,3.0,0.0
F00392,Mumbai,Japan,36,Dormant / At-Risk,16,2.0,0.0
F00393,Kolkata,Mexico,25,Dormant / At-Risk,27,0.0,0.0
F00394,Kolkata,France,24,High Engagers,4,2.0,0.5
F00395,Mumbai,England,22,Casual Followers,184,1.0,0.0
F00396,Ahmedabad,Spain,36,Super Fans,344,3.0,0.0
F00397,Chennai,Portugal,38,Casual Followers,2,3.0,0.0
